ImageFilename,OriginalSet,OriginalFilename,GlassDamage,WaterDamage,BumperDamage,RolledOver,SideDoorDamage,SlidOffRoad,Location,Time,Weather,RoadCondition,Bumps&Dings,EngineDamage,Severity,Notes
car-accident-00001.jpg,test,extreme_damage_0.jpg,yes,no,yes,no,yes,yes,rural,day,clear,dry,yes,yes,4,
car-accident-00002.jpeg,test,extreme_damage_1.jpeg,yes,no,no,yes,yes,no,suburban,day,clear,dry,yes,no,4,more than one car shown in picture
car-accident-00003.jpeg,test,extreme_damage_2.jpeg,yes,no,no,yes,no,yes,rural,day,clear,dry,yes,no,4,
car-accident-00004.jpg,test,extreme_damage_3.jpg,yes,no,no,yes,yes,yes,rural,night,clear,dry,yes,no,4,
car-accident-00005.jpg,test,extreme_damage_4.jpg,yes,no,yes,yes,no,no,rural,day,clear,dry,yes,yes,4,more than one car shown in picture
car-accident-00006.jpg,test,extreme_damage_5.jpg,no,no,yes,yes,yes,yes,rural,day,clear,dry,yes,yes,4,more than one car shown in picture
car-accident-00007.jpeg,test,extreme_damage_6.jpeg,no,yes,yes,yes,no,yes,rural,day,clear,wet,no,yes,4,"Engine damage inferred, since car engine is underwater (even though engine damage is not explicitly visible)."
car-accident-00008.jpg,test,extreme_damage_7.jpg,yes,no,yes,yes,yes,no,rural,day,clear,wet,yes,yes,4,more than one car shown in picture
car-accident-00009.jpg,test,extreme_damage_9.jpg,no,no,no,yes,yes,yes,rural,day,rainy,wet,yes,no,4,
car-accident-00010.jpg,test,extreme_damage_10.jpg,yes,no,yes,yes,yes,yes,rural,day,clear,dry,yes,yes,4,
car-accident-00011.jpg,test,extreme_damage_11.jpg,yes,no,no,yes,yes,no,suburban,day,clear,dry,yes,yes,4,more than one car shown in picture
car-accident-00012.jpg,test,extreme_damage_12.jpg,no,no,yes,yes,no,yes,rural,day,clear,dry,yes,yes,4,"Glass damage not very visible in most prominent car windows, even though front glass is clearly crushed by car's weight"
car-accident-00013.jpg,test,extreme_damage_13.jpg,no,no,yes,yes,yes,yes,rural,day,rainy,wet,yes,yes,4,
car-accident-00014.jpg,test,extreme_damage_14.jpg,yes,no,no,yes,yes,yes,rural,day,clear,dry,yes,no,4,
car-accident-00015.jpg,test,extreme_damage_15.jpg,no,no,yes,no,no,no,urban,day,clear,dry,yes,yes,4,
car-accident-00016.jpg,test,extreme_damage_16.jpg,yes,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,4,
car-accident-00017.jpg,test,extreme_damage_17.jpg,yes,no,yes,no,yes,no,urban,day,clear,dry,yes,no,4,"Did not slide off road, because located in open-space carpark and is blocking the way"
car-accident-00018.jpg,test,extreme_damage_18.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,4,"Did not slide off road, because located in open-space carpark and is blocking the way"
car-accident-00019.jpg,test,extreme_damage_19.jpg,no,no,yes,no,no,no,urban,day,clear,dry,yes,yes,4,
car-accident-00020.jpg,test,extreme_damage_20.jpg,no,no,yes,no,yes,yes,rural,day,clear,dry,yes,yes,4,
car-accident-00021.jpg,test,extreme_damage_21.jpg,yes,no,yes,no,yes,yes,rural,day,clear,dry,yes,yes,4,Engine damage inferred
car-accident-00022.jpg,test,extreme_damage_22.jpg,no,no,yes,no,yes,yes,rural,day,rainy,wet,yes,yes,4,
car-accident-00023.png,test,extreme_damage_23.png,yes,no,yes,no,no,yes,suburban,day,clear,dry,yes,yes,4,
car-accident-00024.jpg,test,extreme_damage_24.jpg,yes,no,no,no,yes,no,suburban,day,clear,dry,yes,no,4,
car-accident-00025.jpg,test,extreme_damage_25.jpg,no,no,yes,no,yes,no,urban,day,clear,dry,yes,yes,4,
car-accident-00026.jpg,test,high_damage_0.jpg,yes,no,yes,no,no,no,rural,day,clear,dry,yes,yes,3,"Two cars in one picture, body of car not shown"
car-accident-00027.jpg,test,high_damage_1.jpg,no,no,no,no,no,yes,rural,day,clear,dry,yes,no,3,Wheels damaged 
car-accident-00028.jpg,test,high_damage_2.jpg,no,no,yes,no,no,no,urban,day,clear,dry,yes,yes,3,"Two cars in one picture, body of car not shown"
car-accident-00029.jpg,test,high_damage_3.jpg,no,no,yes,no,yes,no,suburban,day,clear,dry,yes,yes,3,more than one car shown in picture
car-accident-00030.jpg,test,high_damage_4.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,3,more than one car shown in picture
car-accident-00031.jpg,test,high_damage_5.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,3,more than one car shown in picture
car-accident-00032.jpg,test,high_damage_6.jpg,no,no,yes,no,no,no,suburban,day,rainy,wet,yes,yes,3,more than one car shown in picture
car-accident-00033.jpg,test,high_damage_7.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,3,more than one car shown in picture
car-accident-00034.jpg,test,high_damage_8.jpg,no,no,yes,no,no,no,suburban,day,clear,dry,yes,yes,3,more than one car shown in picture
car-accident-00035.jpg,test,high_damage_9.jpg,no,no,yes,no,no,no,urban,night,clear,dry,yes,yes,3,more than one car shown in picture
